Gen,Ind_ID,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,Power,DCGain,GBW,PM,TC,Vos,CMRR,PSRP,PSRN,SR,SettlingTime,Reward
0,0,61.389632029560524,1.3221789078093455,35.00154671044156,4.354558374427109,14.12023652299511,1.8591687165181037,84.35918005033857,0.4268944957864077,24,2.9623556470654497,3.0619965302467036,2.2017512904554133,169,5.417295730146545,0.0,-0.08236945827589007,0.0,0.0,0.0,-0.6967399545109931,-0.1914676617804578,-0.12481483740038256,0,0.0,0.0,-1.0953919119677236
0,1,61.62410353864462,2.7207084241424315,22.371847377613165,2.5648581199347626,30.09556172906754,1.5030507772058785,17.581626155670783,0.9080591004694507,61,15.380611214859918,6.010612385222905,7.6090160842799826,117,10.82764331893802,0.0,-0.1592177160925115,-0.04689711733738049,0.0,0.0,-0.9007641163044556,-0.230842797296423,-0.15530157992442345,0,0.0,0.0,-1.493023326955194
0,2,71.22448314101469,4.6436679942413,48.014569598584586,4.482119172460472,41.165307620067054,0.8321722897103787,31.190577335370758,0.5478489812302872,66,3.93640824940092,1.1889570677682486,8.123231430523017,144,30.912365872505948,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-11.0
0,3,76.57645521683685,2.925774840583591,46.29961916317358,1.0495358288061187,9.889248988109676,0.6163072204875207,86.18742580985332,0.5893775663849656,47,16.84225391545354,6.337765519203949,19.406251622084152,197,29.63904485379482,0.0,-0.13002096565564947,0.0,0.0,0.0,-0.8855311355311355,-0.2200008463755872,-0.14833465227770534,0,0.0,0.0,-1.3838875998400775
0,4,2.845811270369854,0.9958352606854202,24.72911839000695,4.216485937516814,13.269964869514203,1.4932145924581885,141.44815731977795,0.19234412829333294,57,7.2548819516514484,4.413060440165992,4.041560771825672,187,25.940660954866814,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-11.0
0,5,33.57656645449777,1.2194951903865308,42.08921340457832,2.1689405642699855,49.10406099422179,0.9311900368603669,104.20035935153746,0.9803658244077486,86,11.77168657658175,5.995793317299953,9.288587561730958,64,14.555952632892158,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-11.0
0,6,81.03206913166026,4.282911290335367,5.359323837272176,4.25846693288996,14.789433517861957,1.3794582042011034,51.21952759254159,0.3531759203533612,44,1.5832486948050113,2.4637151022095876,5.2463737967300546,171,49.89405869100397,0.0,-0.09316764150903294,0.0,0.0,0.0,-0.5545657015590201,-0.20421671535590816,-0.13537727735393515,0,0.0,0.0,-0.9873273357778962
0,7,32.68064420255822,3.701287348271702,6.858282189609369,2.767334833995869,40.434634564910645,0.8412733002464481,91.01066084352148,0.1660845031704598,78,17.408018680247977,4.321901306320521,11.38513809523545,199,27.915340503971855,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-11.0
0,8,68.92875369382094,2.6223289420248843,30.278486607486172,2.5283686789100175,42.5049541720566,1.542216697573534,196.5795509039035,0.25600250349591996,30,2.5480612619619434,8.457738041035466,2.2566018721273418,187,25.11437499935718,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-11.0
0,9,75.68418136455347,1.523926742910181,23.5163092432317,2.353665039437213,15.863331738920726,1.128716444459045,173.16241803752263,0.682209011605428,69,6.5841342068716155,9.41626354279173,7.5268267407649105,105,38.07786517319033,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-11.0
0,10,26.689615140572492,2.6927792356319666,3.2109646640804232,3.0622401350332575,47.544952988614995,1.4880283294196075,153.40815596351058,0.5755534748074945,88,2.3452417172686744,8.756987768027965,6.861354602006545,120,45.80756642117252,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-11.0
