403.70256,90.00099,10985620.0,86.57918,5.27208461e-06,0.0005668,-50.9756,-50.71193,-78.50891,15328258.005,0.043126914952755495,-2.081215668464786
286.06482,89.42811,9219510.0,85.46615,4.61567647e-06,0.000486,-52.20922,-51.93588,-79.00258,10144927.52,1.6154403202888606e-05,-1.5475229987803836
427.19184,89.71224,14567230.0,81.34103,5.13280161e-06,0.0005848,-51.00394,-50.7405,-78.45713,14498279.05,0.0776566938842062,-2.090265214932294
768.22038,89.02106,13257730.0,82.92112,1.01969849e-05,4.83e-05,-48.05169,-48.03524,-87.35145,19757753.9,2.4505487656803363e-08,-0.45080335757757145
898.02198,88.28586,15054820.0,85.75921,9.74249396e-06,0.0001182,-48.02376,-47.9766,-84.41785,22121681.05,2.631068271442302e-08,-0.5294682889706727
441.47268,89.8924,9424851.0,90.18575,5.46226991e-06,0.0006253,-50.44275,-50.19612,-78.52053,14773214.2,0.0696802479306674,-2.11606146450957
304.8336,89.81291,8826622.0,87.48837,4.87987694e-06,0.0004957,-51.86772,-51.61987,-79.48276,10720617.365,9.443153460944338e-05,-1.9291941016707663
201.9825,87.95175,5493088.0,92.65708,7.35103745e-06,4.4e-06,-50.96938,-50.96903,-87.92748,8499221.395,1.0539082332660927e-07,-0.39049074975099407
389.22876,89.64163,14035080.0,81.21275,4.92837518e-06,0.0005752,-51.31757,-51.02055,-77.89134,14455187.135,0.0446494870983517,-2.080811120571919
288.99198,89.22051,9006691.0,86.69211,4.47173255e-06,0.0005232,-52.15663,-51.87035,-78.61737,9823906.66,4.1023974452119503e-05,-1.8255934135157552
412.70688,89.56111,17387650.0,71.93127,4.78861307e-06,0.0005774,-51.4499,-51.15238,-77.95721,13854194.54,0.07163544484504311,-2.079821435446223
731.74518,89.08527,12229780.0,81.92775,1.04760571e-05,5.02e-05,-47.87075,-47.85658,-87.59077,19173937.8,2.8054462216807376e-08,-0.4675051857250002
882.53568,88.11703,13693400.0,85.12015,9.40187777e-06,0.0002176,-47.94374,-47.86924,-82.63967,21546516.3,2.7155090623664075e-08,-0.8191551400331427
455.80302,89.67101,11045870.0,89.69443,5.48965159e-06,0.0006708,-50.16676,-49.91189,-78.04659,16056002.899999999,0.07222841797195508,-2.13893833062457
271.00224,89.74378,9098662.0,86.70175,4.80841548e-06,0.0004872,-51.91603,-51.67666,-79.70648,10408350.175,6.618163586274528e-05,-1.883823548557642
202.74408,87.87293,5485499.0,92.75838,7.16145736e-06,3.86e-05,-50.953,-50.94013,-87.01357,8508815.38,1.0478329881479192e-07,-0.3913683392453858
403.67808,89.07099,21946220.0,55.89957,4.59528126e-06,0.0006227,-51.52144,-51.16973,-76.78052,15165289.25,0.04634145161074549,-2.1355471074509147
319.65822,89.40667,9097445.0,89.32297,4.83342062e-06,0.0005556,-51.45776,-51.20086,-78.8528,11347690.434999999,0.000199999999,-2.0216909405576517
408.65238,89.51747,18749440.0,66.8763,4.82513659e-06,0.0005921,-51.29757,-50.99955,-77.82225,14934372.84,0.07633571942353563,-2.089216400772271
783.11556,88.45262,11575940.0,82.58118,1.03223338e-05,0.0001781,-47.45716,-47.41257,-84.4952,19768870.1,2.939469399758734e-08,-0.7530667325211888
893.08674,88.46672,12675020.0,84.42498,9.23580793e-06,0.0002585,-48.03816,-47.95441,-82.36875,21557189.35,4.6091271198002914e-08,-0.8872380482821873
417.26988,89.53458,11498620.0,88.54311,5.18538853e-06,0.0006521,-50.57887,-50.29807,-77.68364,14872345.25,0.06828406524423011,-2.125612892759772
270.3312,89.37439,12085330.0,81.21255,4.57517368e-06,0.0004621,-52.38298,-52.12315,-79.41499,10169493.08,0.0001390475029576065,-1.9332559900368098
184.27194,87.73597,5234725.0,89.3289,7.07740551e-06,4.76e-05,-50.99358,-50.97846,-86.75375,7798241.8,1.3940143320449906e-07,-0.3914028693535455
392.38452,88.92828,24181360.0,43.87994,4.45470243e-06,0.0006459,-51.48697,-51.129,-76.60121,14503927.75,0.000200000001,-2.216899634837278
336.65058,89.45843,8906424.0,91.02499,5.02663817e-06,0.0005876,-51.05641,-50.82001,-79.10037,12407980.895,0.0001415485536520779,-2.0235110397096285
392.51214,89.81052,13539020.0,82.36003,5.08393421e-06,0.0005742,-51.07109,-50.81654,-78.75195,14114295.49,0.04519371619921679,-2.0836779881877994
744.91326,88.87022,10865770.0,81.41636,1.04040975e-05,0.0001712,-47.53919,-47.49984,-85.18071,19173937.8,3.914902328319004e-08,-0.7346651367874468
961.95186,88.27882,13730470.0,85.67663,9.23928642e-06,0.0002453,-48.06461,-47.97198,-81.83897,22826234.7,4.078905481349213e-08,-0.8665397762723908
430.8687,89.6993,9280846.0,90.62909,5.51317762e-06,0.0006455,-50.23166,-49.98767,-78.3835,14961751.15,0.06994441977162368,-2.1286205212945775
258.32916,89.52088,11278420.0,82.75593,4.75677967e-06,0.0004823,-51.9967,-51.76333,-79.84116,9948798.725000001,0.0001063187585856652,-1.9312941567626714
201.76488,87.72472,5642069.0,91.9937,6.59512595e-06,0.0001121,-51.1494,-51.11019,-85.41275,8299660.6850000005,1.0682926844039048e-07,-0.44580563408528134
409.37148,88.5969,27111160.0,28.97858,4.46714e-06,0.0007042,-51.21119,-50.83767,-76.02491,16967505.45,0.08044992341747036,-2.48566408178227
