"[-3.134600941294633, -5.963002826751501, -7.925595845160817, -7.92938814024057, -2.8055803093437706, -5.959874886986659, -1.8486508050036279]"
"[-3.0991846065562214, -4.999814825201484, -7.934460472120656, -7.907932041232706, -1.7982978146245088, -4.999814826275195, -1.8345429432775684]"
"[-3.096669934497754, -4.999814825436171, -7.941012972714318, -7.9104950910632, -2.8231499926190464, -4.999814826565761, -1.851549372831971]"
"[-3.113737796317918, -4.999814825475449, -7.919216709341086, -7.93322914044767, -1.7974642128547722, -2.4919977002818627, -1.8183075227281225]"
"[-3.072818139500835, -5.127995294052485, -7.273937465083158, -7.92126170440684, -2.793727881058066, -2.494588825919636, -1.812009141001623]"
"[-3.072802518806956, -4.999814824996193, -7.890553419019905, -7.925838035111614, -2.7872659607751062, -2.5019547443590366, -1.8167580766923364]"
"[-3.0443636913862147, -4.999814825575675, -7.900952920248253, -7.917896663479466, -2.7914568582838983, -2.503927582181075, -1.8205028113384543]"
"[-3.0162583720157183, -4.99981482584789, -7.9083265715047, -7.889080450079393, -2.841763543679919, -3.5754329627888977, -1.8027734408062273]"
"[-3.0207792799072135, -4.99981482576038, -7.923639300366596, -7.8841718948834805, -2.856341896798436, -2.63366864936501, -1.833066001768237]"
"[-3.030791260994661, -4.914958748686838, -7.282132956049174, -7.877597738069603, -2.8413931608195258, -2.6406820111728666, -1.8850822884221035]"
"[-1.8555583891769654, -4.999814824682852, -7.289230069695248, -7.904153231645239, -2.83844194237476, -2.6604319625946036, -1.8444607380673508]"
"[-1.8486173574805007, -4.999814823893972, -7.276190032946424, -7.871124576385857, -1.6177343451291082, -3.6359128945623302, -1.8868597067539383]"
"[-2.992878359320467, -2.5956153638763975, -7.293202439053982, -7.899334816233937, -2.8540351490208673, -2.675271239875145, -1.8597041521217794]"
"[-2.9940235873793144, -2.481392775360385, -7.303031057704271, -7.885889606550586, -2.873103738985938, -3.6789900771459467, -1.8501403439117552]"
"[-1.817408976333762, -2.450253394491815, -7.305349895133884, -7.8802640044255, -2.9012411039493076, -3.656009818978529, -1.8230752578391785]"
"[-2.9619174838071403, -3.537526104589639, -7.295217443798435, -7.8461204575478884, -2.9255366497506827, -2.665418821221622, -1.8211523109729535]"
"[-2.941878916309946, -2.4691469961104593, -7.2730957463223245, -7.8483709879244214, -1.915108299109253, -3.623253097288067, -1.7669901355233082]"
"[-2.924013871036732, -2.4676831608868746, -7.873670899442393, -7.863456736830714, -2.91165362339689, -2.5213938916167162, -1.8065275588642475]"
"[-2.894595688573262, -2.458060443688722, -6.973187381481983, -7.817579430680889, -2.913304754845472, -2.4906763485183676, -1.8232167289785386]"
"[-2.887472178978923, -2.550431180662305, -7.864056635337118, -7.844712582768991, -2.8954042016274197, -2.4885832740846836, -1.7817832224307333]"
"[-2.8683574379108556, -2.4486405087968537, -7.855093068302708, -8.008550700765124, -2.876213402534302, -2.5073074509998174, -1.8406063384947733]"
"[-2.858448319559886, -2.44360533538119, -7.851351477131728, -7.944886711222903, -2.8738015089754687, -11.0, -1.8766998134877968]"
"[-2.788794887921704, -2.4146373851868486, -7.866264709180244, -7.947618060147902, -1.896816554144264, -11.0, -1.8530671110278085]"
"[-2.8272357718901233, -2.415854567859953, -7.229841912115104, -7.8269761808483125, -2.883033889788585, -11.0, -1.8952452302253944]"
"[-2.8403826186791816, -2.4168349488310934, -6.3471509325375015, -11.0, -2.8653615457580788, -11.0, -1.8724858269270472]"
"[-2.8238038844812396, -2.407838197010164, -6.34340342306684, -7.844982442207685, -2.863509185736096, -2.4912520103756806, -1.8676244525812522]"
"[-2.8383298041337004, -2.3835378679713344, -7.174395866565488, -11.0, -1.8710631670254352, -11.0, -1.8024784020527607]"
"[-2.8257672810236154, -2.488484926950838, -6.350237928084764, -11.0, -2.8905912249152363, -11.0, -1.7933774051462095]"
"[-2.8365929693846876, -3.473626528784951, -7.201673915141297, -11.0, -2.8762002387800694, -11.0, -1.6554158729202404]"
"[-2.8460990106695516, -2.392179101839719, -11.0, -11.0, -1.8919599975991372, -11.0, -1.6777869850917357]"
"[-2.843441865412717, -2.3968878300960705, -11.0, -11.0, -2.8888862076749495, -2.5228956296267033, -1.641127038346502]"
"[-2.8449283940924732, -3.4813390836813825, -11.0, -11.0, -2.90567034926194, -11.0, -1.7889732998573513]"
"[-2.8471838147642714, -2.513333747151668, -11.0, -11.0, -2.89162921668234, -11.0, -1.8780752917443808]"
"[-2.842138992965209, -3.483273854871668, -11.0, -11.0, -2.8556831150308537, -11.0, -1.7953154167676149]"
"[-2.8361376641451144, -2.384854312937652, -11.0, -11.0, -2.8547412588618517, -11.0, -1.6757779912764148]"
"[-2.830806836841743, -3.4942856154468234, -11.0, -11.0, -2.8298836263743574, -11.0, -1.8287437709339254]"
"[-2.831265004183547, -2.5162235515764935, -11.0, -11.0, -2.8557950844697455, -11.0, -1.8297887649886506]"
"[-2.8271273373390047, -2.5086274082492945, -11.0, -11.0, -1.8602721271616118, -11.0, -1.8224147036690947]"
"[-2.8240863755378305, -2.503031769772636, -11.0, -11.0, -2.809739056267468, -11.0, -1.8235952517795366]"
"[-2.824618976952884, -2.5015312444375293, -11.0, -11.0, -1.5473293819344303, -11.0, -1.8203151655766998]"
"[-2.8202274763697246, -2.3765955528094747, -11.0, -11.0, -1.5425438185165654, -11.0, -2.7923749590028955]"
"[-2.8205134006691894, -2.37348799687357, -11.0, -11.0, -1.538873293925159, -11.0, -2.1912253948496403]"
"[-2.815799849078273, -2.371007881530736, -11.0, -11.0, -1.571330188133336, -11.0, -11.0]"
"[-2.8134878292812417, -2.4194482581228605, -11.0, -11.0, -1.5961040517253593, -11.0, -1.7478882004586118]"
"[-2.8084791766648656, -2.3932268030750663, -11.0, -11.0, -2.8259208354340326, -11.0, -11.0]"
"[-2.8059109086371183, -2.391727186494735, -11.0, -11.0, -1.5581243734654686, -11.0, -11.0]"
"[-2.8067803552920525, -2.385725960387776, -11.0, -11.0, -1.537642624281351, -11.0, -1.8241831468437775]"
"[-2.8073163745092375, -2.5211435740555768, -11.0, -11.0, -1.495490548973092, -11.0, -11.0]"
"[-2.806261995033904, -2.385502383002178, -11.0, -11.0, -1.5248029609419955, -11.0, -11.0]"
"[-2.802987366848269, -3.4746981643067554, -11.0, -11.0, -1.5505405974692912, -11.0, -11.0]"
"[-2.7989789839969803, -2.350392647686184, -11.0, -11.0, -1.4988701700683646, -11.0, -11.0]"
"[-2.797964245827425, -2.322559429792924, -11.0, -11.0, -1.5182298016109066, -11.0, -11.0]"
"[-2.804024567703292, -11.0, -11.0, -11.0, -1.5217063244461693, -11.0, -11.0]"
"[-2.80251616315503, -3.4603781131357483, -11.0, -11.0, -4.678869596375153, -11.0, -2.775400585638598]"
"[-2.799655903801173, -2.4856729717655015, -11.0, -11.0, -4.699564343661107, -11.0, -11.0]"
"[-2.798344041483203, -2.4911139638998443, -11.0, -11.0, -4.699067083226975, -11.0, -11.0]"
"[-2.7887915271142134, -3.4475898585010705, -11.0, -11.0, -4.790590598317614, -11.0, -11.0]"
"[-2.78288940180546, -3.4739864879845737, -11.0, -11.0, -4.907940252805054, -11.0, -11.0]"
"[-1.8110609768228407, -3.460415283662566, -11.0, -11.0, -4.879881162950275, -11.0, -11.0]"
"[-2.780147302359964, -3.45764189911914, -11.0, -11.0, -1.5508357360580014, -11.0, -11.0]"
"[-2.787568438299594, -3.445879842038593, -11.0, -11.0, -1.5486343027640854, -11.0, -11.0]"
"[-2.78654857162872, -3.46023319743827, -11.0, -11.0, -4.917307461626358, -11.0, -11.0]"
"[-2.7859046708940887, -11.0, -11.0, -11.0, -4.923768249648561, -11.0, -11.0]"
"[-1.8260582066591202, -11.0, -11.0, -11.0, -4.907583197237393, -11.0, -11.0]"
"[-3.1235313255922206, -5.962728556888183, -7.9488267127896295, -7.934943889125682, -2.796801308594016, -5.970291389858344, -1.8474811022055506]"
"[-3.1069596965154544, -2.55288482837916, -7.9369175630570545, -7.949758696605782, -2.8064853443267803, -2.5478316538784807, -1.8309304830880115]"
"[-3.098657119057384, -3.502346737138723, -7.94603527654577, -7.950964767874324, -2.8208712734455443, -2.4479055881382914, -1.7970235883201264]"
"[-3.1303895580435297, -2.4187441788192308, -7.929518575121919, -8.030701535596425, -2.855337036413663, -2.425038000359067, -1.7809062486740683]"
"[-3.1175413967792776, -2.41518917729959, -7.9474959619597865, -8.01862883318881, -2.900602814575085, -2.4272481802375636, -1.7548261262225597]"
"[-3.1070291436410544, -2.4140532620610187, -7.300933877615113, -8.0346898181235, -1.925030704477513, -2.428727649897096, -1.7301677632172876]"
"[-3.0971141695505775, -3.467556446893593, -7.941863827735496, -8.032123572691992, -1.8563842763425145, -2.4861045318466184, -1.7028090809540903]"
"[-3.0818229284624725, -2.3732024366900375, -7.9212157646383226, -8.01717546009753, -1.8695404206686905, -2.452873722934728, -1.6774036342217147]"
"[-3.064669294944932, -2.436166004926896, -7.957473108257871, -8.10719131007106, -1.859246075128533, -2.4519423236114513, -1.6717472503566329]"
"[-1.8706585125352313, -2.4089683160348194, -7.329795098100315, -8.074242271929172, -1.8634926107549041, -2.4070857962683303, -1.6860904676547839]"
"[-1.8597146399246818, -2.3999701695063553, -7.418300055577965, -6.627792108619138, -1.867949129212756, -3.4293875018710747, -1.7335102357266328]"
"[-3.0366676051698356, -2.4004658640986443, -7.432470248216288, -6.541540201014842, -1.8735509322048065, -2.3975252093468185, -1.7303100898996246]"
"[-3.0160602095746634, -2.3625598314230865, -7.438018193931854, -6.559644177422852, -1.8725395544791232, -2.364027187246937, -1.7265773957188257]"
"[-2.980440299731818, -2.3423526866619726, -7.4244272633265584, -8.05929159212281, -1.87248389448274, -3.3936090886351056, -1.7167912578399496]"
"[-2.9357999617900274, -2.3219514617332653, -7.44407247859274, -6.585076181315766, -1.8712252032082355, -2.330139133959693, -1.7070815901453331]"
"[-2.9754858437126495, -2.284510734016766, -7.367056957828368, -6.576825007171584, -2.9803597105263835, -2.3057996789998443, -1.6967891206493608]"
"[-1.811788185890496, -2.2652321737359467, -7.4385096890637135, -6.374281209422046, -2.977482977012802, -2.1878202917742438, -1.6346759039401162]"
"[-1.7953612477614114, -3.29949328489136, -8.125353381795398, -6.5166212236857275, -1.8562241251341716, -2.227538150323515, -1.6598439257029145]"
"[-1.7938104033585396, -3.30144187396194, -7.510174063550792, -6.611098302320244, -1.8222203038582958, -4.235846863146391, -1.6329036993827586]"
"[-1.8395437004603412, -4.20844028338014, -8.099484113343129, -6.595438155380701, -1.8376170920182295, -4.198754572947873, -1.6009539330273237]"
"[-2.9363793641627667, -4.152650005080116, -8.061408491535248, -6.498786267269473, -2.9411071648572995, -4.154869617174188, -1.5611515663435818]"
"[-5.0343174954265555, -4.109315757808733, -7.9481711592071544, -6.537758834792961, -2.9519051281116604, -4.1124215566415865, -1.5562958098134145]"
"[-5.6007787359067285, -4.050460241708736, -8.00229452898968, -6.631544929027387, -2.9462410814407134, -4.072351608320315, -1.5115473658272556]"
"[-5.566536873453209, -3.9909774078557927, -7.488290974985289, -8.232360738253849, -1.9242733896569604, -4.051122167281824, -1.5126863813619673]"
"[-1.8401907565073865, -3.9426012456929778, -7.531288951883356, -8.266452284020572, -2.9392970992467022, -4.0142829589798135, -1.5625886561948623]"
"[-5.531981579170048, -3.943533530635626, -8.118927144635139, -8.302377478807566, -2.922320698600309, -3.9205155164087113, -1.5114249286825654]"
"[-5.477609080304609, -3.518292558743339, -4.508173095197475, -8.286036216397239, -2.920832837484874, -3.842653765638076, -1.4388251414961049]"
"[-5.439199637678025, -3.830576591711514, -8.181608046842632, -8.349715258884332, -1.811165574059446, -3.8056067559203237, -1.4485088488450033]"
"[-4.86170764201264, -3.80778567055328, -8.236483557726466, -8.384049408494377, -4.906072417118491, -3.220366742743294, -1.5007118262691583]"
"[-4.861361430295521, -3.0504269322852915, -8.262080290020032, -8.388141208863054, -4.895287957086337, -2.999459862250632, -1.4916683559578916]"
"[-4.860130078575534, -2.627058458588882, -4.462105625190363, -8.382786528275483, -1.7636870122677637, -2.818687990617292, -1.5326250881038677]"
"[-4.855135447899398, -3.925525934962337, -4.615425297730858, -8.397861942321192, -1.782377350561425, -2.816151193429355, -1.5307715383043086]"
"[-4.857651245007184, -1.952052129590138, -8.2748129267011, -8.416944330530404, -1.7568970295064232, -3.915226709128047, -1.52366240759895]"
"[-4.857782833969904, -1.8211110131264707, -4.6240880233489134, -8.406987709406032, -1.780046333977436, -2.7941740045488253, -1.5283157475455316]"
"[-4.858856739142582, -1.7827131666993166, -4.475634399995201, -8.415466062488983, -1.7539036564738257, -2.804542886472931, -1.5226169361016548]"
"[-4.8551144590970114, -1.7423059276299253, -4.534461978094799, -8.42758734573676, -1.749041056277309, -2.4470939617965186, -1.4545111048279236]"
"[-4.8547250667036925, -1.7243470057399268, -4.529637308306349, -8.434157023148945, -1.757873530173388, -7.499646547436642, -4.88495167764005]"
"[-4.84409105031519, -1.834279604244228, -5.631727318598318, -8.44042100403267, -1.8132623287425298, -5.85655750523668, -4.874427071451921]"
"[-4.849759614812149, -1.8140152457962313, -5.6219088832690725, -8.437192613234481, -1.7151261372364857, -5.941498421460944, -1.4240777064687622]"
"[-4.847363198640335, -1.6599751221312486, -5.622448112790517, -8.45009609363338, -1.6924610350198224, -5.811859246910946, -4.871597327298586]"
"[-4.840140675478767, -1.6510639331488672, -5.626371118397517, -8.429928794323612, -2.503874528768278, -2.5937933190827724, -4.885603155495913]"
"[-4.820095348575239, -2.531197637366832, -4.61584247240335, -8.423641131941299, -2.725777175516552, -2.55605002605156, -4.875683737621644]"
"[-1.3938600498340907, -1.7951097118996382, -4.630720146930809, -8.428618376287492, -2.8275491464960782, -4.843615606753669, -4.886370090857094]"
"[-4.824376535742237, -1.627197281446421, -4.634801104144589, -8.42153136936465, -5.5836916433970725, -5.6930705438030325, -4.88674971516268]"
"[-4.808153476278754, -4.999814831137767, -4.624541852756629, -8.412526927280833, -4.924969987206671, -5.398241559517447, -1.5408250630354956]"
"[-4.8109819478512605, -4.819184521370646, -4.6139387792667295, -8.41501590214762, -1.7818457448301224, -5.217258985821521, -4.872854416700385]"
"[-4.800099949121091, -5.174113691975197, -4.630637159630505, -8.40485982748393, -4.9126179650059045, -4.826192751791059, -4.880368463564319]"
"[-4.816176469702195, -4.803052682613547, -4.62315834564523, -8.40364368915696, -5.514939071719866, -4.818742069503568, -5.302024313841529]"
"[-4.835214632085656, -4.793814432229713, -4.525455448462559, -8.377392729982418, -1.629794893085502, -4.8104804316259235, -4.890716352826316]"
"[-4.835173890689564, -4.779419873538317, -4.59889443791163, -8.367035639184797, -4.906112101368991, -4.814540058881044, -4.890548895857014]"
"[-4.8173849516910625, -4.766818234028522, -4.613245446935802, -8.354913137507902, -4.891156461793088, -4.807858583426365, -4.896838086276858]"
"[-4.804132797156313, -4.75348206489653, -4.611204140837866, -8.369454331450129, -4.888579386355762, -4.802391067545869, -1.5930357339763934]"
"[-4.804801873104113, -4.737153369849127, -4.606970701987769, -8.351657055601734, -4.901297931235078, -4.800119927469859, -4.897645853354293]"
"[-4.803343165393626, -4.740327186615326, -4.588416949326725, -8.34796481360394, -4.899426731288393, -4.794829708005966, -5.645304049839944]"
"[-5.065970724622619, -4.746128457900371, -4.568277769699646, -8.358747908055975, -4.893543406383296, -4.783409139404999, -4.896179400760289]"
"[-4.815413012586668, -4.750654530792905, -4.545818105852446, -8.350024926905872, -4.8898314408639445, -4.771114670719665, -4.886156647212776]"
"[-4.8153959748412065, -4.753390874429519, -4.538674651749572, -8.335197765811333, -4.887107698031508, -4.753664243410933, -4.886389455726357]"
"[-4.815361889904347, -4.754992036228689, -4.52137142540301, -7.531828927223769, -4.887810623131099, -4.732727514514223, -4.8896064457962]"
"[-4.813519812713463, -4.7528728520847805, -4.526736562522999, -7.52158445540638, -5.996075468267018, -4.737394956832511, -4.882221305017832]"
"[-4.797057330493387, -4.754480725761347, -4.512135472211943, -8.279125699908533, -4.879438180932144, -4.738527911019858, -4.881796689178589]"
