Title: test opamp tran
Date: Tue May 20 10:40:33  2025
Plotname: Transient Analysis
Flags: real
No. Variables: 3
No. Points: 481
Variables:
	0	time	time
	1	v(vout3)	voltage
	2	v(visr)	voltage
Values:
 0	0.000000000000000e+00
	2.998902432759678e-01
	3.000000000000000e-01

 1	1.000000000000000e-08
	2.998902431186001e-01
	3.000000000000000e-01

 2	2.000000000000000e-08
	2.998902430181158e-01
	3.000000000000000e-01

 3	4.000000000000000e-08
	2.998902428999284e-01
	3.000000000000000e-01

 4	8.000000000000000e-08
	2.998902432375956e-01
	3.000000000000000e-01

 5	1.600000000000000e-07
	2.998902431146069e-01
	3.000000000000000e-01

 6	3.200000000000000e-07
	2.998902432564640e-01
	3.000000000000000e-01

 7	6.400000000000000e-07
	2.998902431976160e-01
	3.000000000000000e-01

 8	1.000000000000000e-06
	2.998902429074293e-01
	3.000000000000000e-01

 9	1.000000100000000e-06
	2.999573177479812e-01
	3.199999999878466e-01

 10	1.000000300000000e-06
	3.000765929777528e-01
	3.600000000058914e-01

 11	1.000000700000000e-06
	3.003170070264668e-01
	4.399999999996294e-01

 12	1.000001000000000e-06
	3.005004571974556e-01
	5.000000000000000e-01

 13	1.000001080000000e-06
	3.005083498429908e-01
	5.000000000000000e-01

 14	1.000001240000000e-06
	3.005243859424384e-01
	5.000000000000000e-01

 15	1.000001560000000e-06
	3.005362207416810e-01
	5.000000000000000e-01

 16	1.000002200000000e-06
	3.005352236078448e-01
	5.000000000000000e-01

 17	1.000003480000000e-06
	3.005361355259680e-01
	5.000000000000000e-01

 18	1.000006040000000e-06
	3.005353713641186e-01
	5.000000000000000e-01

 19	1.000011160000000e-06
	3.005365415932918e-01
	5.000000000000000e-01

 20	1.000021400000001e-06
	3.005363251238836e-01
	5.000000000000000e-01

 21	1.000041880000001e-06
	3.005384406945024e-01
	5.000000000000000e-01

 22	1.000082840000002e-06
	3.005401038503183e-01
	5.000000000000000e-01

 23	1.000164760000004e-06
	3.005458687067233e-01
	5.000000000000000e-01

 24	1.000328600000009e-06
	3.005544033893147e-01
	5.000000000000000e-01

 25	1.000656280000018e-06
	3.005717918754576e-01
	5.000000000000000e-01

 26	1.001311640000036e-06
	3.005929891146070e-01
	5.000000000000000e-01

 27	1.002622360000072e-06
	3.005933651261757e-01
	5.000000000000000e-01

 28	1.005243800000145e-06
	3.005413574480548e-01
	5.000000000000000e-01

 29	1.010486680000290e-06
	3.009391434051930e-01
	5.000000000000000e-01

 30	1.018152030839535e-06
	3.024066602158378e-01
	5.000000000000000e-01

 31	1.026750028962364e-06
	3.045529387997332e-01
	5.000000000000000e-01

 32	1.040327773994135e-06
	3.089375561162659e-01
	5.000000000000000e-01

 33	1.067483264057677e-06
	3.174237270211226e-01
	5.000000000000000e-01

 34	1.121794244184762e-06
	3.306543382389032e-01
	5.000000000000000e-01

 35	1.230416204438931e-06
	3.556103385532003e-01
	5.000000000000000e-01

 36	1.443877561327381e-06
	4.199519418489230e-01
	5.000000000000000e-01

 37	1.497242900549494e-06
	4.388101994931810e-01
	5.000000000000000e-01

 38	1.603973578993718e-06
	4.772779613789053e-01
	5.000000000000000e-01

 39	1.712392555371683e-06
	5.087262389063532e-01
	5.000000000000000e-01

 40	1.837720285977114e-06
	5.177310617619288e-01
	5.000000000000000e-01

 41	1.953428019304511e-06
	5.090581260514531e-01
	5.000000000000000e-01

 42	2.147819847413771e-06
	5.039337098096881e-01
	5.000000000000000e-01

 43	2.426563583003608e-06
	5.056695909812867e-01
	5.000000000000000e-01

 44	2.984051054183283e-06
	5.024399359069605e-01
	5.000000000000000e-01

 45	3.559780307189098e-06
	5.024987726831651e-01
	5.000000000000000e-01

 46	4.559780307189097e-06
	5.005608822612431e-01
	5.000000000000000e-01

 47	5.559780307189097e-06
	5.007895768124362e-01
	5.000000000000000e-01

 48	6.559780307189097e-06
	4.998701743190412e-01
	5.000000000000000e-01

 49	7.559780307189097e-06
	5.003234017797542e-01
	5.000000000000000e-01

 50	8.559780307189096e-06
	4.997225988952350e-01
	5.000000000000000e-01

 51	9.559780307189097e-06
	5.001657577349001e-01
	5.000000000000000e-01

 52	1.055978030718910e-05
	4.997288189571440e-01
	5.000000000000000e-01

 53	1.155978030718910e-05
	5.000782407584947e-01
	5.000000000000000e-01

 54	1.255978030718910e-05
	4.997511377781234e-01
	5.000000000000000e-01

 55	1.355978030718910e-05
	5.000235321371633e-01
	5.000000000000000e-01

 56	1.455978030718910e-05
	4.997795967157461e-01
	5.000000000000000e-01

 57	1.555978030718910e-05
	4.999846263769705e-01
	5.000000000000000e-01

 58	1.655978030718910e-05
	4.998054341255735e-01
	5.000000000000000e-01

 59	1.755978030718910e-05
	4.999552826206282e-01
	5.000000000000000e-01

 60	1.855978030718910e-05
	4.998269821331374e-01
	5.000000000000000e-01

 61	1.955978030718910e-05
	4.999325870781308e-01
	5.000000000000000e-01

 62	2.055978030718910e-05
	4.998444268959130e-01
	5.000000000000000e-01

 63	2.155978030718910e-05
	4.999148871860934e-01
	5.000000000000000e-01

 64	2.255978030718910e-05
	4.998583534093379e-01
	5.000000000000000e-01

 65	2.355978030718911e-05
	4.999011011458161e-01
	5.000000000000000e-01

 66	2.455978030718911e-05
	4.998693434846346e-01
	5.000000000000000e-01

 67	2.555978030718911e-05
	4.998904493734131e-01
	5.000000000000000e-01

 68	2.655978030718911e-05
	4.998778940504063e-01
	5.000000000000000e-01

 69	2.755978030718911e-05
	4.998823399292973e-01
	5.000000000000000e-01

 70	2.855978030718911e-05
	4.998844171266914e-01
	5.000000000000000e-01

 71	2.955978030718911e-05
	4.998763063435057e-01
	5.000000000000000e-01

 72	3.055978030718911e-05
	4.998892547753675e-01
	5.000000000000000e-01

 73	3.155978030718910e-05
	4.998719674938581e-01
	5.000000000000000e-01

 74	3.255978030718910e-05
	4.998926975846401e-01
	5.000000000000000e-01

 75	3.355978030718910e-05
	4.998690050597117e-01
	5.000000000000000e-01

 76	3.455978030718909e-05
	4.998950010175718e-01
	5.000000000000000e-01

 77	3.555978030718909e-05
	4.998671477764725e-01
	5.000000000000000e-01

 78	3.655978030718909e-05
	4.998963845695699e-01
	5.000000000000000e-01

 79	3.755978030718909e-05
	4.998661656491021e-01
	5.000000000000000e-01

 80	3.855978030718908e-05
	4.998970391484749e-01
	5.000000000000000e-01

 81	3.955978030718908e-05
	4.998658667624920e-01
	5.000000000000000e-01

 82	4.055978030718908e-05
	4.998971275858310e-01
	5.000000000000000e-01

 83	4.155978030718908e-05
	4.998660853474863e-01
	5.000000000000000e-01

 84	4.255978030718907e-05
	4.998967899406730e-01
	5.000000000000000e-01

 85	4.355978030718907e-05
	4.998666852966582e-01
	5.000000000000000e-01

 86	4.455978030718907e-05
	4.998961439383338e-01
	5.000000000000000e-01

 87	4.555978030718906e-05
	4.998675558827397e-01
	5.000000000000000e-01

 88	4.655978030718906e-05
	4.998952846503435e-01
	5.000000000000000e-01

 89	4.755978030718906e-05
	4.998686035684790e-01
	5.000000000000000e-01

 90	4.855978030718906e-05
	4.998942930290535e-01
	5.000000000000000e-01

 91	4.955978030718905e-05
	4.998697570356547e-01
	5.000000000000000e-01

 92	5.055978030718905e-05
	4.998932276423913e-01
	5.000000000000000e-01

 93	5.155978030718905e-05
	4.998709612706220e-01
	5.000000000000000e-01

 94	5.255978030718904e-05
	4.998921359912190e-01
	5.000000000000000e-01

 95	5.355978030718904e-05
	4.998721727038886e-01
	5.000000000000000e-01

 96	5.455978030718904e-05
	4.998910569826618e-01
	5.000000000000000e-01

 97	5.555978030718904e-05
	4.998733579973071e-01
	5.000000000000000e-01

 98	5.655978030718903e-05
	4.998900153588870e-01
	5.000000000000000e-01

 99	5.755978030718903e-05
	4.998744945746560e-01
	5.000000000000000e-01

 100	5.855978030718903e-05
	4.998890315350641e-01
	5.000000000000000e-01

 101	5.955978030718902e-05
	4.998755646287945e-01
	5.000000000000000e-01

 102	6.055978030718902e-05
	4.998881177774432e-01
	5.000000000000000e-01

 103	6.155978030718902e-05
	4.998765607657165e-01
	5.000000000000000e-01

 104	6.255978030718902e-05
	4.998872779460455e-01
	5.000000000000000e-01

 105	6.355978030718901e-05
	4.998774784477475e-01
	5.000000000000000e-01

 106	6.455978030718901e-05
	4.998865170657940e-01
	5.000000000000000e-01

 107	6.555978030718901e-05
	4.998783129262925e-01
	5.000000000000000e-01

 108	6.655978030718901e-05
	4.998858376209685e-01
	5.000000000000000e-01

 109	6.755978030718900e-05
	4.998790661961112e-01
	5.000000000000000e-01

 110	6.855978030718900e-05
	4.998852339330262e-01
	5.000000000000000e-01

 111	6.955978030718900e-05
	4.998797406372224e-01
	5.000000000000000e-01

 112	7.055978030718899e-05
	4.998847055326354e-01
	5.000000000000000e-01

 113	7.155978030718899e-05
	4.998803406486625e-01
	5.000000000000000e-01

 114	7.255978030718899e-05
	4.998842453086036e-01
	5.000000000000000e-01

 115	7.355978030718899e-05
	4.998808713216651e-01
	5.000000000000000e-01

 116	7.455978030718898e-05
	4.998838493455275e-01
	5.000000000000000e-01

 117	7.555978030718898e-05
	4.998813375864821e-01
	5.000000000000000e-01

 118	7.655978030718898e-05
	4.998835111953115e-01
	5.000000000000000e-01

 119	7.755978030718897e-05
	4.998817440976540e-01
	5.000000000000000e-01

 120	7.855978030718897e-05
	4.998832275854215e-01
	5.000000000000000e-01

 121	7.955978030718897e-05
	4.998820981920045e-01
	5.000000000000000e-01

 122	8.055978030718897e-05
	4.998829886410598e-01
	5.000000000000000e-01

 123	8.155978030718896e-05
	4.998824047208175e-01
	5.000000000000000e-01

 124	8.255978030718896e-05
	4.998827931075869e-01
	5.000000000000000e-01

 125	8.355978030718896e-05
	4.998826688843612e-01
	5.000000000000000e-01

 126	8.455978030718895e-05
	4.998826329297397e-01
	5.000000000000000e-01

 127	8.555978030718895e-05
	4.998828952131591e-01
	5.000000000000000e-01

 128	8.655978030718895e-05
	4.998825058663841e-01
	5.000000000000000e-01

 129	8.755978030718895e-05
	4.998830879239675e-01
	5.000000000000000e-01

 130	8.855978030718894e-05
	4.998824056546647e-01
	5.000000000000000e-01

 131	8.955978030718894e-05
	4.998832538361913e-01
	5.000000000000000e-01

 132	9.055978030718894e-05
	4.998823284175873e-01
	5.000000000000000e-01

 133	9.155978030718894e-05
	4.998833935322629e-01
	5.000000000000000e-01

 134	9.255978030718893e-05
	4.998822719669656e-01
	5.000000000000000e-01

 135	9.355978030718893e-05
	4.998835128451702e-01
	5.000000000000000e-01

 136	9.455978030718893e-05
	4.998822307195250e-01
	5.000000000000000e-01

 137	9.555978030718892e-05
	4.998836133499043e-01
	5.000000000000000e-01

 138	9.655978030718892e-05
	4.998822061231776e-01
	5.000000000000000e-01

 139	9.755978030718892e-05
	4.998836968086557e-01
	5.000000000000000e-01

 140	9.855978030718892e-05
	4.998821916156280e-01
	5.000000000000000e-01

 141	9.955978030718891e-05
	4.998837686506161e-01
	5.000000000000000e-01

 142	1.005597803071889e-04
	4.998821856323032e-01
	5.000000000000000e-01

 143	1.015597803071889e-04
	4.998838294087349e-01
	5.000000000000000e-01

 144	1.025597803071889e-04
	4.998821887384595e-01
	5.000000000000000e-01

 145	1.035597803071889e-04
	4.998838796228671e-01
	5.000000000000000e-01

 146	1.045597803071889e-04
	4.998821969193246e-01
	5.000000000000000e-01

 147	1.055597803071889e-04
	4.998839216786000e-01
	5.000000000000000e-01

 148	1.065597803071889e-04
	4.998822119983835e-01
	5.000000000000000e-01

 149	1.075597803071889e-04
	4.998839564955835e-01
	5.000000000000000e-01

 150	1.085597803071889e-04
	4.998822302173587e-01
	5.000000000000000e-01

 151	1.095597803071889e-04
	4.998839855399160e-01
	5.000000000000000e-01

 152	1.105597803071889e-04
	4.998822502971270e-01
	5.000000000000000e-01

 153	1.115597803071889e-04
	4.998840111252545e-01
	5.000000000000000e-01

 154	1.125597803071889e-04
	4.998822733894006e-01
	5.000000000000000e-01

 155	1.135597803071889e-04
	4.998840315290589e-01
	5.000000000000000e-01

 156	1.145597803071889e-04
	4.998822976146455e-01
	5.000000000000000e-01

 157	1.155597803071889e-04
	4.998840483962190e-01
	5.000000000000000e-01

 158	1.165597803071889e-04
	4.998823240387773e-01
	5.000000000000000e-01

 159	1.175597803071889e-04
	4.998840615867184e-01
	5.000000000000000e-01

 160	1.185597803071889e-04
	4.998823514530697e-01
	5.000000000000000e-01

 161	1.195597803071889e-04
	4.998840723853410e-01
	5.000000000000000e-01

 162	1.205597803071889e-04
	4.998823789249154e-01
	5.000000000000000e-01

 163	1.215597803071889e-04
	4.998840823067736e-01
	5.000000000000000e-01

 164	1.225597803071888e-04
	4.998824043640373e-01
	5.000000000000000e-01

 165	1.235597803071888e-04
	4.998840911070868e-01
	5.000000000000000e-01

 166	1.245597803071888e-04
	4.998824299010403e-01
	5.000000000000000e-01

 167	1.255597803071888e-04
	4.998840990078828e-01
	5.000000000000000e-01

 168	1.265597803071888e-04
	4.998824555864145e-01
	5.000000000000000e-01

 169	1.275597803071888e-04
	4.998841038964115e-01
	5.000000000000000e-01

 170	1.285597803071888e-04
	4.998824823118946e-01
	5.000000000000000e-01

 171	1.295597803071888e-04
	4.998841068087916e-01
	5.000000000000000e-01

 172	1.305597803071888e-04
	4.998825089669094e-01
	5.000000000000000e-01

 173	1.315597803071888e-04
	4.998841087017709e-01
	5.000000000000000e-01

 174	1.325597803071888e-04
	4.998825349974234e-01
	5.000000000000000e-01

 175	1.335597803071888e-04
	4.998841098685356e-01
	5.000000000000000e-01

